순위,종목명,검색비율,현재가,등락률
1,SK하이닉스,10.16%,"578,000","상승34,000"
2,삼성전자,8.55%,"109,400","상승1,000"
3,에코프로,8.45%,"117,400","상승20,500"
4,두산에너빌리티,3.05%,"76,900","하락3,500"
5,현대차,2.41%,"315,000",보합0
6,알테오젠,2.40%,"457,500","상승1,000"
7,에코프로비엠,2.01%,"173,000","상승13,300"
8,한화오션,1.97%,"113,800","상승5,300"
9,디앤디파마텍,1.85%,"83,000","하락12,900"
10,천일고속,1.84%,"366,500","하락46,500"
11,에임드바이오,1.83%,"48,150","하락9,050"
12,에스피지,1.52%,"75,000","상승8,400"
13,LG에너지솔루션,1.37%,"450,000","상승24,000"
14,NAVER,1.27%,"249,000",하락500
15,에이비엘바이오,1.22%,"186,900","하락3,700"
16,삼성에피스홀딩스,1.19%,"519,000","상승4,000"
17,현대로템,1.11%,"192,600","상승10,600"
18,클로봇,1.09%,"45,850","상승3,450"
19,에어부산,1.08%,"1,900",상승176
20,삼성SDI,1.08%,"313,500","상승6,000"
21,신성델타테크,1.04%,"70,600","상승7,400"
22,POSCO홀딩스,1.03%,"318,500","상승7,500"
23,펩트론,0.92%,"267,000","하락18,000"
24,대화제약,0.92%,"23,000","상승3,830"
25,셀트리온,0.89%,"187,100","상승3,800"
26,삼성중공업,0.89%,"25,850",상승400
27,포스코퓨처엠,0.85%,"220,250","상승14,250"
28,엔씨소프트,0.83%,"202,000","하락10,000"
29,이수스페셜티케미컬,0.82%,"59,300","상승7,800"
30,카카오,0.82%,"61,900",상승400
