[네이버 인기검색 합계 Top30] (최근 12 스냅샷 기반)
생성시각: 2026-01-19 23:27:40
스냅샷 수: 12개
------------------------------------------------
 1. 삼성전자 | 합계: 109.59
 2. 현대차 | 합계: 69.15
 3. SK하이닉스 | 합계: 49.52
 4. 두산에너빌리티 | 합계: 45.08
 5. 휴림로봇 | 합계: 44.16
 6. NAVER | 합계: 27.36
 7. 알테오젠 | 합계: 25.78
 8. 뉴로메카 | 합계: 25.70
 9. 한화오션 | 합계: 24.45
10. POSCO홀딩스 | 합계: 19.97
11. 한화시스템 | 합계: 19.84
12. 우리기술 | 합계: 19.62
13. 삼성중공업 | 합계: 18.75
14. 포스코DX | 합계: 17.69
15. 현대무벡스 | 합계: 16.34
16. 모베이스전자 | 합계: 15.49
17. LG씨엔에스 | 합계: 14.66
18. 유진로봇 | 합계: 14.13
19. 한미반도체 | 합계: 13.81
20. 에코프로 | 합계: 13.17
21. 삼성SDI | 합계: 12.77
22. 클로봇 | 합계: 12.05
23. LG전자 | 합계: 10.63
24. 에이비엘바이오 | 합계: 8.99
25. 두산로보틱스 | 합계: 8.35
26. 위메이드 | 합계: 8.31
27. HLB | 합계: 8.20
28. 기아 | 합계: 7.52
29. 삼천당제약 | 합계: 7.43
30. 현대건설 | 합계: 5.97
